date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:20	27692/27692	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/faq.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/faq.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:20	1655/1655	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22624ab490-677%22	https://demo.dashboardpack.com/sales-html/img/menu-icon/3.svg	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/img/menu-icon/3.svg	(from https://demo.dashboardpack.com/sales-html/)
13:31:21	21423/21423	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/colors.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/colors.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:21	23107/23107	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/Alerts.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/Alerts.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:22	24844/24844	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/buttons.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/buttons.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:22	30057/30057	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/modal.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/modal.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:23	27665/27665	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/dropdown.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/dropdown.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:24	20558/20558	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/Badges.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/Badges.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:25	28586/28586	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/Loading_Indicators.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/Loading_Indicators.html	(from https://demo.dashboardpack.com/sales-html/)
13:31:25	21714/21714	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Apr%202022%2011:55:04%20GMT	https://demo.dashboardpack.com/sales-html/State_color.html	C:/Users/muham/Downloads/hghh/demo.dashboardpack.com/sales-html/State_color.html	(from https://demo.dashboardpack.com/sales-html/)
